1. 387.92493212223053 (-31.743216513772705; 11.20251870198592; 11.625838741340775; 20.570682605646006; -4.473539166640533; 4.532823002938153)
2. 475.3447184562683 (-23.14920332831837; 15.967355471264453; 8.832359768330889; 23.27031383780159; -4.587911308068875; 4.012788095573631)
3. 443.2680730819702 (-12.50489265361277; 18.302040580742375; 18.855538854723687; 31.090257071344524; -5.249996721106984; 4.273094219216252)
4. 410.2653946876526 (-11.968762344890935; 18.534944505522787; 18.89932191941353; 31.054551695049252; -5.21045464752094; 4.256312556127009)
5. 481.6812858581543 (-13.272983210381044; 17.89529896504097; 18.02326422670086; 31.009330788598856; -5.26128417809723; 4.277048335937652)
6. 417.8218970298767 (-12.007297890792445; 18.722112078919537; 18.921125849526778; 31.556119712163735; -5.223257479228764; 4.323936158239493)
7. 478.9413146972656 (-5.920667383542927; 18.286197800075698; 19.110256215842696; 32.521323282751354; -4.911220080953045; 4.866791353876404)
8. 484.59344577789307 (-6.758567362375793; 18.216351677572582; 18.38593699585929; 32.4612495171791; -4.934776572972704; 4.858451427939627)
9. 499.16709995269775 (-3.280508447553407; 16.226341379333725; 15.291587992226756; 34.78695898296286; -4.890873681015379; 5.592741167690691)
10. 485.69758701324463 (-6.723071790228664; 12.674500056135074; 18.86393046484799; 37.14610117647867; -0.2752495259846161; 13.14081449395139)
11. 486.61505603790283 (-6.2885988031575; 12.460789807627599; 18.89248777613829; 37.120601271727345; -0.20593180312635412; 13.164690430237883)
12. 493.21079444885254 (-6.909877058947066; 12.736114019422324; 18.780990635400258; 37.045840177424566; -0.19032819939455775; 13.159418156353738)
13. 497.17425298690796 (-6.620268191751483; 12.174804286287747; 18.779664037838554; 37.494791315069925; 0.3636473182842746; 14.22686939052657)
14. 499.52262020111084 (-6.444492576685113; 13.009379613104992; 18.92985092369295; 37.638859922193994; 0.461963990605274; 14.48506133728168)
15. 495.69017124176025 (-6.4708636209408; 12.672764844997268; 19.174770296167875; 37.99490217165297; 0.7349542394462647; 15.069794960510555)
16. 481.6968688964844 (-6.978543930381341; 12.544854508873087; 18.685592964775534; 37.93830259422537; 0.7544596832894532; 15.101350263668479)
17. 491.8025722503662 (-6.677302318118297; 13.030641563251464; 18.99147966664291; 39.519946089883724; 0.8672500262042897; 15.943535856502118)
18. 497.0306601524353 (-6.64113960235704; 13.249424113876895; 19.203861008933952; 39.58761297698352; 1.073197987767964; 16.080778127510186)
19. 489.8920178413391 (-7.2476269252927175; 13.4546976438475; 19.615481115723053; 39.79617864630577; 1.0450297893218377; 16.2190606992427)
20. 466.3668203353882 (-7.2659588980962155; 13.288617716402406; 19.44275229928577; 40.36460649449491; 1.2027199899586094; 16.413508068292945)
21. 476.82657623291016 (-7.415985659748115; 13.316996878283145; 19.495158096301733; 40.838644259466726; 1.3426745137057756; 16.46006978319641)
22. 462.5667781829834 (-7.552390481131341; 13.270874223198302; 19.40829005612255; 41.78045932051336; 1.505875227938158; 16.523579909994737)
23. 430.4487113952637 (-7.564528154774913; 13.202720025701272; 19.35026852438517; 41.97943970031336; 1.6537854861187449; 16.508590683078474)
24. 498.2044734954834 (-7.583160786750502; 12.707820343379272; 19.179367542841668; 42.08234623457895; 1.7113122256933293; 16.597781614052863)
25. 452.30223989486694 (-7.521506265602948; 13.00884714241532; 19.216346478675078; 42.0953585847141; 1.7884461531881217; 16.624627844453773)
26. 466.85621070861816 (-7.467106089975259; 12.5591757182281; 18.996169311385657; 42.1129305386159; 1.8364860842255075; 16.689888890168422)
27. 494.8849744796753 (-7.392971368947668; 13.315771939349247; 19.43356134135183; 42.12033595148424; 1.9270778605014198; 16.683760965976305)
28. 455.54794216156006 (-7.2967770278108475; 13.583589461880482; 19.63208752041867; 42.30562359252492; 1.9691157523532716; 16.679969320259104)
29. 446.27437353134155 (-7.6237289665728305; 13.220135808952719; 19.35624437553158; 42.401831025702414; 1.9662683708334057; 16.682561896792734)
30. 425.0676498413086 (-7.350804132921837; 12.86891053658686; 19.00150095187597; 42.640959311363794; 1.8482975882911374; 16.654951420805666)
31. 466.0455799102783 (-7.427869023553139; 12.865494706442439; 19.132187056972995; 42.64537436404767; 1.919790890928424; 16.691647321367906)
32. 454.97967195510864 (-7.482411374470205; 12.803052599865563; 19.079186185509176; 42.65132355441862; 1.985768165873026; 16.73559793366094)
33. 446.97156143188477 (-7.548908864245416; 12.942201082678501; 19.176746858093413; 42.659788310979685; 2.0580718261558566; 16.768272093602125)
34. 441.9512701034546 (-7.580027683649718; 12.692587002070221; 19.030383385228365; 42.67356360054868; 2.1126001756084327; 16.823266623462846)
35. 444.8727550506592 (-7.6233532013540515; 13.164281277263596; 19.336735599168946; 42.68713755040109; 2.1916753323022324; 16.837525763117277)
36. 489.4204435348511 (-7.497499286076358; 12.284772901044347; 18.821270377815694; 42.70581444201912; 2.2106418433587427; 16.92140874439665)
37. 489.60693168640137 (-7.11214434586007; 12.634157438116588; 18.7803709647864; 42.7522403632401; 2.22862547518288; 16.717899347071906)
38. 449.49978494644165 (-7.471197245114826; 12.824648464188169; 19.08492563543743; 42.78540189499515; 2.3938032793902644; 16.70060398923246)
39. 438.1604652404785 (-7.553232948608836; 12.871240861082434; 19.131844961034375; 42.79283936505262; 2.4616728333397977; 16.73661715360589)
40. 426.5097393989563 (-7.613444238591677; 12.788087207177213; 19.087612695916423; 42.80506318447649; 2.522105510035796; 16.780962870869413)
41. 415.94367933273315 (-7.665584306854587; 12.958248201413742; 19.201172898125776; 42.81992455189891; 2.5892427275780485; 16.81191952902293)
